username,repo_names,star,repo_url
amphp,amp,3200,https://github.com/amphp/amp
danog,MadelineProto,1500,https://github.com/danog/MadelineProto
amphp,http-server,1100,https://github.com/amphp/http-server
unreal4u,telegram-api,652,https://github.com/unreal4u/telegram-api
amphp,http-client,561,https://github.com/amphp/http-client
amphp,parallel,490,https://github.com/amphp/parallel
php-service-bus,service-bus,294,https://github.com/php-service-bus/service-bus
amphp,mysql,239,https://github.com/amphp/mysql
amphp,byte-stream,220,https://github.com/amphp/byte-stream
amphp,parallel-functions,181,https://github.com/amphp/parallel-functions
amphp,socket,129,https://github.com/amphp/socket
amphp,process,127,https://github.com/amphp/process
amphp,redis,109,https://github.com/amphp/redis
kelunik,acme,103,https://github.com/kelunik/acme
PeeHaa,mailgrab,90,https://github.com/PeeHaa/mailgrab
amphp,dns,89,https://github.com/amphp/dns
amphp,websocket-client,85,https://github.com/amphp/websocket-client
amphp,sync,72,https://github.com/amphp/sync
jolicode,asynit,67,https://github.com/jolicode/asynit
amphp,websocket-server,62,https://github.com/amphp/websocket-server
amphp,postgres,56,https://github.com/amphp/postgres
amphp,cache,52,https://github.com/amphp/cache
amphp,beanstalk,52,https://github.com/amphp/beanstalk
amphp,file,51,https://github.com/amphp/file
amphp,windows-registry,48,https://github.com/amphp/windows-registry
amphp,hpack,46,https://github.com/amphp/hpack
amphp,serialization,42,https://github.com/amphp/serialization
phpinnacle,ridge,41,https://github.com/phpinnacle/ridge
Room-11,Jeeves,41,https://github.com/Room-11/Jeeves
amphp,aerys,39,https://github.com/amphp/aerys
